dwc:county,dwc:country,dwc:family,dwc:day,dwc:recordedBy,dwc:order,dwc:institutionCode,dwc:class,dwc:phylum,idigbio:uuid,dwc:scientificNameAuthorship,dwc:occurrenceID,dwc:subgenus,dwc:decimalLatitude,dwc:higherClassification,dwc:catalogNumber,dwc:decimalLongitude,dwc:datasetName,dwc:month,dwc:specificEpithet,dwc:stateProvince,dwc:collectionCode,dwc:genus,dwc:continent,idigbio:dateModified,dwc:scientificName,dwc:year
French Frigate Shoals,USA,Holothuriidae,14,"Rusty Brainard, Gustav Paulay, Sea McKeon, Brian Zgliczynski, Tito Lotufo, Jim Maragos, Scott Godwin & John Starmer",Aspidochirotida,FLMNH,Holothuroidea,,87133d74-efd2-45c0-b59d-075b8411904d,Semper,E5075D58-5009-4B73-A86B-7863137F8A13,,23.6373,,6115-Echinodermata,-166.1872,,10,arenicola,Hawaiian Islands,Invertebrate Zoology,Holothuria,,2014-10-16T22:59:39.208Z,Holothuria arenicola,2006
Kosrae Island,Federated States of Micronesia,Holothuriidae,4,"Sun Kim, Alex Kerr, François Michonneau",Aspidochirotida,FLMNH,Holothuroidea,,a2c0c2c5-1bf2-4dc2-a804-989ccb140b28,Forskaal,34A809F4-CF1B-4E6E-BC88-5F6D32950746,,5.36916,,6967-Echinodermata,163.01382,,3,impatiens,Caroline Islands,Invertebrate Zoology,Holothuria,,2014-10-16T23:25:38.416Z,Holothuria impatiens,2008
Mauke Island,Cook Islands,Holothuriidae,4,"Paulay, G.",Aspidochirotida,FLMNH,Holothuroidea,,92309cd6-3b0e-4355-b67e-1e03277c7b30,Lesson,237C880E-3388-4640-A711-7C44BD24ACFC,,,,1361-Echinodermata,,,12,edulis,Cook Islands,Invertebrate Zoology,Holothuria,,2014-10-16T22:27:44.537Z,Holothuria edulis,1984
Ofu Island,American Samoa,Holothuriidae,,Sea McKeon,Aspidochirotida,FLMNH,Holothuroidea,,98930789-6a0d-4fd0-8cb6-c8e3982daab4,Brandt,53E4B173-A278-48D8-BA0C-00E1D2CF8B66,,-14.2,,5033-Echinodermata,-169.7,,2,leucospilota,Samoa Islands,Invertebrate Zoology,Holothuria,,2014-10-16T17:39:39.630Z,Holothuria leucospilota,2007
,USA,Holothuriidae,25,Sun Kim,Aspidochirotida,FLMNH,Holothuroidea,,06b77373-3c8c-4f23-9b2c-4b83d9281dc4,Selenka,4E3246B6-6364-4162-ACC2-60380EF30AD1,,19.3,,11521-Echinodermata,166.7,,3,pervicax,Wake Island,Invertebrate Zoology,Holothuria,,2014-10-16T15:53:39.157Z,Holothuria pervicax,2009
,Australia,Holothuriidae,11,François Michonneau,Aspidochirotida,FLMNH,Holothuroidea,,3bac238c-2d4e-4ee8-9d81-e2bb1c13a0ed,Semper,6B01D2BD-48B7-4735-BE09-C042B3579F47,,-14.6813,,8304-Echinodermata,145.4457,,2,coluber,Queensland,Invertebrate Zoology,Holothuria,,2014-10-16T23:58:09.574Z,Holothuria coluber,2009
,Papua New Guinea,Holothuriidae,13,"Baptiste Faure, Richard Ibik, Rachel James",Aspidochirotida,FLMNH,Holothuroidea,,e96c3ff4-34ab-48a8-b27d-19be86d6adc0,Ludwig,E8E06FF5-5B64-4E33-B4BC-5C779D8430C8,,-5.078866,,14558-Echinodermata,145.814407,,11,lineata,Madang Province,Invertebrate Zoology,Holothuria,,2014-10-16T18:26:16.970Z,Holothuria lineata,2012
,Algeria,Holothuriidae,11,Karim Mezali,Aspidochirotida,FLMNH,Holothuroidea,,75ad13f2-f416-4572-84fe-ee4765b5f636,Gmelin,0CC8F954-B7E5-4E97-85B8-603EEE262630,,,,5467-Echinodermata,,,5,tubulosa,Division 16,Invertebrate Zoology,Holothuria,,2014-10-16T16:38:19.159Z,Holothuria tubulosa,2007
,Philippines,Holothuriidae,10,,Aspidochirotida,FLMNH,Holothuroidea,,14fe8abd-8b44-401d-8fa3-60e744dbc65c,Jäger,147FA1AB-8C11-4B79-876E-4FF2A0CEECFC,,9.51835,,5702-Echinodermata,123.67912,,6,atra,Bohol,Invertebrate Zoology,Holothuria,,2014-10-16T19:49:22.713Z,Holothuria atra,2006
Guam Island,USA,Holothuriidae,,J. Doty,Aspidochirotida,FLMNH,Holothuroidea,,2c796e8c-cdf2-4438-92c1-46729326c669,Brandt,6E88CEC4-3F95-4998-8F16-57396E3200AF,,13.5,,12206-Echinodermata,144.8,,12,cinerascens,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T20:50:05.216Z,Holothuria cinerascens,1974
,Maldives,Holothuriidae,16,Jenna Moore,Aspidochirotida,FLMNH,Holothuroidea,,8d6142fd-11ea-46bf-83fb-4f9a08892857,Jäger,A20DD724-309C-49EE-8427-01E5FE7D67E7,,3.078913,,16101-Echinodermata,72.962112,,5,atra,,Invertebrate Zoology,Holothuria,,2014-10-16T22:14:40.430Z,Holothuria atra,2014
,Australia,Holothuriidae,,Maria Byrne,Aspidochirotida,FLMNH,Holothuroidea,,d4d0fd93-48fe-41bb-840b-5d44da639b8c,Mitsukuri,F778C47F-DED3-448D-BAB4-628FB674BC98,,,,7420-Echinodermata,,,11,isuga,,Invertebrate Zoology,Holothuria,,2014-10-16T16:15:43.365Z,Holothuria isuga,2007
,French Antilles,Holothuriidae,20,"Gustav Paulay, John Slapcinsky, Mandy Bemis, François Michonneau, Arthur Anker, Jean-Philippe Marechal, Zachary Whitener",Aspidochirotida,FLMNH,Holothuroidea,,98915bd4-a2f3-44b8-b4de-429469398176,Selenka,2C73EDCF-B4F8-4444-B0CF-BF20215F1185,,18.067,,11872-Echinodermata,-63.012,,4,glaberrima,St. Martin,Invertebrate Zoology,Holothuria,,2014-10-16T19:55:31.449Z,Holothuria glaberrima,2012
Pagan Island,Northern Mariana Islands,Holothuriidae,5,John Starmer,Aspidochirotida,FLMNH,Holothuroidea,,5d4a0c23-f94a-47ac-a759-0291f56a9b89,Jäger,7194D0E4-D9DF-41F7-BF3E-D40250E058AE,,,,12618-Echinodermata,,,6,atra,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T15:20:21.464Z,Holothuria atra,2007
,Papua New Guinea,Holothuriidae,30,"Fredrik Leliaert, Xavier Desmier, Vanessa Knutson, François Michonneau, Eric Pante",Aspidochirotida,FLMNH,Holothuroidea,,3e246f84-0166-4d92-9d45-60e986270d42,Semper,3EE996DF-BC83-4F17-8831-F30A071C9F75,,-5.151,,15010-Echinodermata,145.818665,,11,gracilis,Madang Province,Invertebrate Zoology,Holothuria,,2014-10-16T21:49:05.155Z,Holothuria gracilis,2012
Moorea Island,French Polynesia,Holothuriidae,3,"Christian McKeon, Chris Meyer, Gustav Paulay",Aspidochirotida,FLMNH,Holothuroidea,,715e6842-80b0-4807-abf7-7bdcdbf1ec27,Forskaal,A1D5206D-89C6-4176-84D3-76D192D12CFA,,-17.4747,,5271-Echinodermata,-149.7981,,8,impatiens,Society Islands,Invertebrate Zoology,Holothuria,,2014-10-16T20:00:06.214Z,Holothuria impatiens,2006
,Papua New Guinea,Holothuriidae,16,"Yasunori Kano, Pierre Lozouet, John Slapcinsky, Mande Holford, Timea Neusser, Bastian Brenzinger",Aspidochirotida,FLMNH,Holothuroidea,,fd75e1e9-9756-42b9-b7e2-2816fc8e8c9f,Lesson,B0F19950-81B9-44AF-ABE9-D7685608CCFB,,-4.987981,,14782-Echinodermata,145.794018,,11,hilla,Madang Province,Invertebrate Zoology,Holothuria,,2014-10-16T16:28:48.943Z,Holothuria hilla,2012
Guam Island,USA,Holothuriidae,10,C. Birkeland,Aspidochirotida,FLMNH,Holothuroidea,,3231b1b2-cd7e-4ad2-a562-f31a0f89e000,Forskaal,64AEE042-EC19-4F80-86B2-39D4329D0064,,13.5,,12342-Echinodermata,144.8,,6,impatiens,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T16:52:30.936Z,Holothuria impatiens,1977
Agrihan Island,Northern Mariana Islands,Holothuriidae,14,Alexander M. Kerr,Aspidochirotida,FLMNH,Holothuroidea,,26bbd97e-7c9b-4fd1-b3d9-2d3a1cc72f39,Jäger,662F3E69-9132-4115-9CA1-C848D3CDDE88,,,,5010-Echinodermata,,,9,atra,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T15:11:32.745Z,Holothuria atra,2005
Kosrae Island,Federated States of Micronesia,Holothuriidae,25,"Sun Kim, Alex Kerr, François Michonneau",Aspidochirotida,FLMNH,Holothuroidea,,0b5af6eb-e844-43d3-980e-c1e4f84f7fe2,Lesson,D80BE262-D6F1-4B2B-8BE4-960EF8AF8D8F,,5.34222,,6954-Echinodermata,163.01986,,2,hilla,Caroline Islands,Invertebrate Zoology,Holothuria,,2014-10-16T20:36:29.740Z,Holothuria hilla,2008
,Philippines,Holothuriidae,23,Kris Netchy & Alex Kerr,Aspidochirotida,FLMNH,Holothuroidea,,a1bc2416-f66a-41fa-bec4-777409a0d9c7,Forskaal,105CF16C-F784-4352-A8EC-F5859CB3B975,,9.43301,,5679-Echinodermata,123.38418,,5,impatiens,,Invertebrate Zoology,Holothuria,,2014-10-16T23:37:05.613Z,Holothuria impatiens,2006
Europa Island,France,Holothuriidae,23,"H. Bruggemann, M. Guillaume",Aspidochirotida,FLMNH,Holothuroidea,,c9c283dd-05ee-41bd-a687-9848461c6d51,Semper,0971A195-9E3E-4732-99B2-F4493CFC66AF,,-22.34656667,,9190-Echinodermata,40.33203333,,4,arenicola,Scattered Islands,Invertebrate Zoology,Holothuria,,2014-10-16T19:36:26.143Z,Holothuria arenicola,2009
French Frigate Shoals,USA,Holothuriidae,24,"Gustav Paulay, Sea McKeon, John Starmer, Amy Hall, Elizabeth Keenan & Scott Godwin",Aspidochirotida,FLMNH,Holothuroidea,,f4f12522-e9f2-4e5d-8059-e65743344583,Ludwig,7F588D0B-C014-43F9-B465-6EE7AA7CD81C,,23.7212,,6241-Echinodermata,-166.1328,,10,lineata,Hawaiian Islands,Invertebrate Zoology,Holothuria,,2014-10-16T16:25:18.790Z,Holothuria lineata,2006
,French Polynesia,Holothuriidae,10,Jenna Moore,Aspidochirotida,FLMNH,Holothuroidea,,997a6603-b13f-40ea-9053-7311367f384d,Lesson,9B941519-6B2A-4CD1-A1C9-7780D0C3CF39,,-23.31947,,13239-Echinodermata,-134.48297,,2,hilla,Gambier Islands,Invertebrate Zoology,Holothuria,,2014-10-16T22:20:05.997Z,Holothuria hilla,2013
,Ecuador,Holothuriidae,18,"Cleveland P. Hickman, Jr.",Aspidochirotida,FLMNH,Holothuroidea,,b82c7220-9fe0-4bed-aedc-7312b1db00ed,Ludwig,9C9C869E-26E4-4AFC-B492-88F5C54EFD90,,,,9644-Echinodermata,,,5,lineata,Galapagos Islands,Invertebrate Zoology,Holothuria,,2014-10-16T18:57:27.331Z,Holothuria lineata,1995
,Madagascar,Holothuriidae,13,"G. Paulay, T. Werner",Aspidochirotida,FLMNH,Holothuroidea,,71617984-90c8-4580-8039-73fc061a1fc2,Forskaal,6A343BD2-5F2D-4597-8897-7D99FF704B1A,,-13.5039,,7360-Echinodermata,47.9517,,5,impatiens,,Invertebrate Zoology,Holothuria,,2014-10-16T16:21:37.278Z,Holothuria impatiens,2008
,Saudi Arabia,Holothuriidae,24,"Jenna Moore, Jessica Bouwmeester",Aspidochirotida,FLMNH,Holothuroidea,,61379bbf-7f44-4a2c-a9ce-edf884a2e863,Linnaeus,FA9C1585-EAB4-4819-9EEC-2FB0686E487F,,22.202911,,16110-Echinodermata,39.048425,,3,,,Invertebrate Zoology,Holothuria,,2014-10-16T18:32:47.268Z,,2013
,Portugal,Holothuriidae,25,Athila Bertoncini,Aspidochirotida,FLMNH,Holothuroidea,,592d49ba-7190-45a4-87aa-c82782c99cc6,Delle Chiaje,8D305E5B-4527-45F1-BF07-73B6D7B6CAD5,,,,5977-Echinodermata,,,10,sanctori,Azores,Invertebrate Zoology,Holothuria,,2014-10-16T22:41:16.846Z,Holothuria sanctori,2007
,Australia,Holothuriidae,16,"Robert Lasley, François Michonneau",Aspidochirotida,FLMNH,Holothuroidea,,d29739c5-6d02-4f4b-ab16-653b1bee496a,Semper,1B0F09D5-7423-4284-9DB4-151CB5EFD0F2,,-14.6068,,8348-Echinodermata,145.3506,,2,gracilis,Queensland,Invertebrate Zoology,Holothuria,,2014-10-16T23:46:47.574Z,Holothuria gracilis,2009
Yap State,Federated States of Micronesia,Holothuriidae,5,Kris Netchy & Alex Kerr,Aspidochirotida,FLMNH,Holothuroidea,,4273aa0c-e8d3-4850-9105-06b2ce7492b4,Jäger,944654E8-76B8-4FAC-981D-661BB9AE7EE3,,9.51686,,5875-Echinodermata,138.13593,,8,atra,Caroline Islands,Invertebrate Zoology,Holothuria,,2014-10-16T16:10:47.298Z,Holothuria atra,2007
,Maldives,Holothuriidae,7,Jenna Moore,Aspidochirotida,FLMNH,Holothuroidea,,56651db5-1ef1-4b77-a2b8-53293475c55f,Lesson,9E039D25-B413-4F07-A14D-0B8C91D31433,,3.14294,,16046-Echinodermata,73.01206,,5,edulis,,Invertebrate Zoology,Holothuria,,2014-10-16T23:16:06.791Z,Holothuria edulis,2014
French Frigate Shoals,USA,Holothuriidae,16,"Brian Zgliczynski, Rusty Brainard, Amy Hall & Elizabeth Keenan",Aspidochirotida,FLMNH,Holothuroidea,,6d33bd14-f7d0-4071-b45b-d5ecce1b18dc,Forskaal,76121C44-C055-4823-A99B-3DF010AEE7FC,,23.8732,,6141-Echinodermata,-166.2348,,10,impatiens,Hawaiian Islands,Invertebrate Zoology,Holothuria,,2014-10-16T16:50:01.424Z,Holothuria impatiens,2006
Moorea Island,French Polynesia,Holothuriidae,21,"Christian McKeon, Gustav Paulay",Aspidochirotida,FLMNH,Holothuroidea,,314a0bf4-7f24-4f6d-af89-978d08d8bac9,Brandt,68A175C5-0566-48E2-B371-117121607266,,-17.5067,,5295-Echinodermata,-149.8522,,6,cinerascens,Society Islands,Invertebrate Zoology,Holothuria,,2014-10-16T22:28:40.354Z,Holothuria cinerascens,2006
,Australia,Holothuriidae,17,,Aspidochirotida,FLMNH,Holothuroidea,,23557a9d-bcfe-4556-902a-ae0601167e0e,Semper,0DD22B42-4E0B-45A7-9F1E-59F363983BB4,,-23.3174166667,,10043-Echinodermata,151.7169833333,,11,gracilis,Queensland,Invertebrate Zoology,Holothuria,,2014-10-16T15:34:45.287Z,Holothuria gracilis,2009
Reunion Island,France,Holothuriidae,25,Nicolas Hubert & Francois Michonneau,Aspidochirotida,FLMNH,Holothuroidea,,96e99a37-d516-4341-8d7e-71afd0b4a2a5,Selenka,F6CF0D21-B183-4E24-9A6B-248BECE19B31,,-21.0787,,6336-Echinodermata,55.2256,,7,pervicax,Mascarene Islands,Invertebrate Zoology,Holothuria,,2014-10-17T00:02:42.563Z,Holothuria pervicax,2007
,French Polynesia,Holothuriidae,,John Starmer,Aspidochirotida,FLMNH,Holothuroidea,,c7854556-7371-454b-82e8-d6e7bf8336ca,Semper,A77B0551-3082-4C9B-AB63-3587950945C2,,-9.36858,,14066-Echinodermata,-140.11352,,1,flavomaculata,Marquesas Islands,Invertebrate Zoology,Holothuria,,2014-10-16T16:42:53.662Z,Holothuria flavomaculata,2012
Moorea Island,French Polynesia,Holothuriidae,8,Arthur Anker,Aspidochirotida,FLMNH,Holothuroidea,,388af22f-ecde-4ea1-8c2f-d3169274796f,Ludwig,B3D39A0B-EB92-4970-9B87-919FCD9E9631,,-17.487298,,9873-Echinodermata,-149.824919,,12,lineata,Society Islands,Invertebrate Zoology,Holothuria,,2014-10-16T22:03:18.707Z,Holothuria lineata,2009
,Philippines,Holothuriidae,24,Kris Netchy & Alex Kerr,Aspidochirotida,FLMNH,Holothuroidea,,2a6e5e7c-8e9a-4f96-b506-a26eb2579614,Jäger,C547A94A-F3F7-4323-9A45-B9AB35798D20,,9.60988,,5599-Echinodermata,123.17229,,5,fuscocinerea,Negros Oriental,Invertebrate Zoology,Holothuria,,2014-10-16T23:26:43.737Z,Holothuria fuscocinerea,2006
,Algeria,Holothuriidae,11,Karim Mezali,Aspidochirotida,FLMNH,Holothuroidea,,f2ad1527-fb70-4de3-a314-9567cbe3f0f3,Gmelin,C63B839F-65B1-43B7-A513-60A26C7EEDB3,,,,3852-Echinodermata,,,5,tubulosa,Division 35,Invertebrate Zoology,Holothuria,,2014-10-16T23:01:11.677Z,Holothuria tubulosa,2007
Mayotte Island,France,Holothuriidae,2,"Arthur Anker, François Michonneau",Aspidochirotida,FLMNH,Holothuroidea,,676db88b-d72c-497c-87ab-c0085e27a9cf,Selenka,94ED884D-D0BB-4263-97F3-ACD263E75008,,-12.859323,,6891-Echinodermata,45.268639,,6,nobilis,Comoros Islands,Invertebrate Zoology,Holothuria,,2014-10-16T19:06:52.224Z,Holothuria nobilis,2008
Guam Island,USA,Holothuriidae,16,François Michonneau,Aspidochirotida,FLMNH,Holothuroidea,,62c76252-e4a2-4161-b395-a9fa3deb5dd1,Bell,D7588006-9FAA-4A54-90F2-2D6EE43C35DD,,13.479096,,7139-Echinodermata,144.726632,,2,whitmaei,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T15:10:05.599Z,Holothuria whitmaei,2008
Niue Island,Niue Island,Holothuriidae,29,,Aspidochirotida,FLMNH,Holothuroidea,,ed64a3b6-3b60-46b6-8658-9eab7f63eb26,Semper,54D0CD98-E204-4EE3-A250-B524A91ECA0D,,-19.1,,1867-Echinodermata,-169.9,,5,discrepans,Niue Island,Invertebrate Zoology,Holothuria,,2014-10-16T19:22:43.373Z,Holothuria discrepans,1986
